season,district,role,consensus_class,eligible_area_km2,sample_n,sampled,exclusion_reason,weight_scale_m
winter,Shivpuri,development,Agriculture,5572.0388,20,yes,,10
winter,Shivpuri,development,Built Area,11.7224,20,yes,,10
winter,Shivpuri,development,Open Land,2.887,20,yes,,10
winter,Shivpuri,development,Vegetation,2.2753,20,yes,,10
winter,Shivpuri,development,Water,113.7889,20,yes,,10
winter,Sidhi,test,Agriculture,3370.4732,20,yes,,10
winter,Sidhi,test,Built Area,0.7759,20,yes,,10
winter,Sidhi,test,Open Land,107.3584,20,yes,,10
winter,Sidhi,test,Vegetation,447.2452,20,yes,,10
winter,Sidhi,test,Water,82.7053,20,yes,,10
winter,Tikamgarh,development,Agriculture,3420.3085,20,yes,,10
winter,Tikamgarh,development,Built Area,8.4605,20,yes,,10
winter,Tikamgarh,development,Open Land,2.8683,20,yes,,10
winter,Tikamgarh,development,Vegetation,1.8048,20,yes,,10
winter,Tikamgarh,development,Water,32.3742,20,yes,,10
winter,Ujjain,test,Agriculture,5211.7767,20,yes,,10
winter,Ujjain,test,Built Area,40.5528,20,yes,,10
winter,Ujjain,test,Open Land,1.2337,20,yes,,10
winter,Ujjain,test,Vegetation,0.4372,20,yes,,10
